x_mm,y_mm,r_mm,ekin_MeV
2.31893,-6.37427,0.801956,5.41447
7.47443,1.632,0.802198,5.45472
0.367631,-5.64954,0.803022,5.49152
11.0705,-0.762722,0.80371,5.44991
-2.94088,9.73357,0.804378,5.44927
1.58792,-2.62978,0.805513,5.45732
8.13549,-7.97556,0.805739,5.48384
0.010095,-5.73514,0.80665,5.48664
7.32668,-0.510966,0.807998,5.44713
-8.4003,-3.01893,0.808412,5.42383
-4.28866,-16.7802,0.80877,5.48774
0.713819,-7.57163,0.808943,5.46001
-10.3577,0.500363,0.809041,5.47736
3.78631,6.81079,0.809315,5.49103
-10.3509,-0.0378317,0.81027,5.44386
-1.40493,-4.00323,0.810481,5.46445
-1.39621,3.70906,0.810529,5.45513
8.47241,-2.51396,0.81211,5.40929
-3.06524,8.68581,0.812857,5.44898
3.6248,0.612361,0.813025,5.45525
-3.28532,-12.6895,0.813061,5.48776
-3.95611,-3.77417,0.814015,5.42732
2.41119,2.48112,0.814432,5.46077
1.14644,-4.58517,0.815011,5.41006
6.39419,-8.62766,0.816498,5.41783
-4.66312,4.05012,0.816574,5.46195
-16.8954,8.27126,0.816663,5.45295
11.1981,1.04056,0.819629,5.48276
1.98051,-5.90622,0.820323,5.42264
-7.70782,-10.779,0.82037,5.43782
-2.07292,10.4117,0.820653,5.44376
-4.61788,7.24219,0.82068,5.43265
-0.649491,1.90035,0.821044,5.46198
-2.21788,7.77306,0.821416,5.45373
3.0995,-7.05025,0.82206,5.41845
5.75964,-9.85478,0.823111,5.43736
1.69916,2.7212,0.823141,5.43417
-8.22887,-9.72234,0.823214,5.43841
3.10227,3.91075,0.823264,5.48567
-2.63563,2.22688,0.823452,5.43274
-10.3341,2.94155,0.823542,5.47207
-3.38144,4.65091,0.82365,5.43855
2.56945,6.30198,0.824715,5.45003
-0.646148,-7.43291,0.825534,5.4786
-10.2553,-2.80562,0.82667,5.4657
-9.19773,-1.15293,0.826955,5.43195
11.3777,0.955825,0.827197,5.48985
-9.0199,-2.65132,0.827248,5.4675
-7.98695,3.84873,0.827485,5.44149
-2.55189,2.34008,0.827506,5.46849
3.29054,-5.17254,0.82776,5.47757
-7.92785,-5.36518,0.827796,5.4515
1.84449,-4.63031,0.828375,5.45339
4.58851,3.48812,0.828643,5.45506
10.976,-2.52781,0.828678,5.47218
0.556277,-1.42123,0.829462,5.47988
2.1493,0.745348,0.831377,5.42738
-5.87184,-8.18442,0.831591,5.43806
-0.302051,-2.13794,0.83167,5.48348
-1.33921,9.33914,0.832972,5.42331
3.8571,-6.25609,0.832973,5.46047
1.64734,-0.738856,0.83383,5.48251
-5.56759,1.28619,0.834931,5.45133
